,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
6794,2007-02-16,108580.10889037109,95353.71032377174,123523.79963156108,108580.10889037109,108580.10889037109,1158.348850446256,1158.348850446256,1158.348850446256,24.62501727736976,24.62501727736976,24.62501727736976,1133.7238331688861,1133.7238331688861,1133.7238331688861,0.0,0.0,0.0,109738.45774081735
6795,2007-02-20,108885.17627938715,94810.16414027434,123717.42341985572,108885.17627938715,108885.17627938715,1212.719450502879,1212.719450502879,1212.719450502879,-47.74431467333189,-47.74431467333189,-47.74431467333189,1260.4637651762112,1260.4637651762112,1260.4637651762112,0.0,0.0,0.0,110097.89572989002
6796,2007-02-21,108961.44312664116,96119.19999957825,123947.73952197647,108961.44312664116,108961.44312664116,1239.2730788385163,1239.2730788385163,1239.2730788385163,-53.78780352770906,-53.78780352770906,-53.78780352770906,1293.0608823662253,1293.0608823662253,1293.0608823662253,0.0,0.0,0.0,110200.71620547968
6797,2007-02-22,109037.70997389527,97177.52909932035,123799.83571490351,109037.70997389528,109037.70997389528,1259.9746636796935,1259.9746636796935,1259.9746636796935,-65.05893416183288,-65.05893416183288,-65.05893416183288,1325.0335978415264,1325.0335978415264,1325.0335978415264,0.0,0.0,0.0,110297.68463757496
6798,2007-02-23,109113.97682114918,96482.40283797812,124290.52072752664,109113.97682114918,109113.97682114918,1380.456845085099,1380.456845085099,1380.456845085099,24.625017276911823,24.625017276911823,24.625017276911823,1355.8318278081872,1355.8318278081872,1355.8318278081872,0.0,0.0,0.0,110494.43366623427
6799,2007-02-26,109342.7773629113,96276.59743878852,124412.59433113452,109342.7773629113,109342.7773629113,1301.1224146827217,1301.1224146827217,1301.1224146827217,-134.37417116324642,-134.37417116324642,-134.37417116324642,1435.4965858459684,1435.4965858459684,1435.4965858459684,0.0,0.0,0.0,110643.89977759402
6800,2007-02-27,109419.04421016532,96609.2381669184,125738.99490612731,109419.04421016532,109419.04421016532,1408.183182508287,1408.183182508287,1408.183182508287,-47.744314673309596,-47.744314673309596,-47.744314673309596,1455.9274971815967,1455.9274971815967,1455.9274971815967,0.0,0.0,0.0,110827.22739267361
6801,2007-02-28,109495.31105741943,96704.84919764171,125457.13448688867,109495.31105741943,109495.31105741943,1418.612915685228,1418.612915685228,1418.612915685228,-53.78780352763666,-53.78780352763666,-53.78780352763666,1472.4007192128647,1472.4007192128647,1472.4007192128647,0.0,0.0,0.0,110913.92397310465
6802,2007-03-01,109571.57790467335,97731.10771504219,125331.45911926866,109571.57790467335,109571.57790467335,1419.3691124904392,1419.3691124904392,1419.3691124904392,-65.05893416191986,-65.05893416191986,-65.05893416191986,1484.4280466523592,1484.4280466523592,1484.4280466523592,0.0,0.0,0.0,110990.9470171638
6803,2007-03-02,109647.84475192745,96942.61903077814,124660.46709295812,109647.84475192745,109647.84475192745,1516.193383223575,1516.193383223575,1516.193383223575,24.62501727710821,24.62501727710821,24.62501727710821,1491.5683659464669,1491.5683659464669,1491.5683659464669,0.0,0.0,0.0,111164.03813515103
6804,2007-03-05,109876.6452936896,97084.71390199038,125719.21400296931,109876.6452936896,109876.6452936896,1345.780689102146,1345.780689102146,1345.780689102146,-134.37417116309655,-134.37417116309655,-134.37417116309655,1480.1548602652426,1480.1548602652426,1480.1548602652426,0.0,0.0,0.0,111222.42598279174
6805,2007-03-06,109952.9121409436,97646.29757014343,125350.93622281415,109952.9121409436,109952.9121409436,1416.8458835805811,1416.8458835805811,1416.8458835805811,-47.74431467345706,-47.74431467345706,-47.74431467345706,1464.5901982540381,1464.5901982540381,1464.5901982540381,0.0,0.0,0.0,111369.75802452418
6806,2007-03-07,110029.17898819761,98141.6928129057,126648.20157695853,110029.17898819761,110029.17898819761,1389.15071229651,1389.15071229651,1389.15071229651,-53.78780352757999,-53.78780352757999,-53.78780352757999,1442.9385158240898,1442.9385158240898,1442.9385158240898,0.0,0.0,0.0,111418.32970049413
6807,2007-03-08,110105.44583545162,97602.1451156168,125243.36136976143,110105.44583545162,110105.44583545162,1350.1475524128698,1350.1475524128698,1350.1475524128698,-65.05893416200684,-65.05893416200684,-65.05893416200684,1415.2064865748766,1415.2064865748766,1415.2064865748766,0.0,0.0,0.0,111455.5933878645
6808,2007-03-09,110181.71268270574,97268.12614965986,125842.92530609466,110181.71268270575,110181.71268270575,1406.1174663351087,1406.1174663351087,1406.1174663351087,24.62501727700034,24.62501727700034,24.62501727700034,1381.4924490581084,1381.4924490581084,1381.4924490581084,0.0,0.0,0.0,111587.83014904085
6809,2007-03-12,110410.51322446787,97757.2614081521,125619.99866494846,110410.51322446787,110410.51322446787,1112.4587283899161,1112.4587283899161,1112.4587283899161,-134.37417116316863,-134.37417116316863,-134.37417116316863,1246.8328995530849,1246.8328995530849,1246.8328995530849,0.0,0.0,0.0,111522.97195285778
6810,2007-03-13,110486.78007172188,98420.73698063726,124563.30988564971,110486.78007172188,110486.78007172188,1144.2763714091257,1144.2763714091257,1144.2763714091257,-47.744314673261904,-47.744314673261904,-47.744314673261904,1192.0206860823876,1192.0206860823876,1192.0206860823876,0.0,0.0,0.0,111631.056443131
6811,2007-03-14,110563.04691897589,97579.05738841431,125542.43772387608,110563.04691897589,110563.04691897589,1079.2976211303962,1079.2976211303962,1079.2976211303962,-53.78780352779736,-53.78780352779736,-53.78780352779736,1133.0854246581935,1133.0854246581935,1133.0854246581935,0.0,0.0,0.0,111642.34454010628
6812,2007-03-15,110639.3137662299,98545.91419558354,125302.8911738289,110639.3137662299,110639.3137662299,1005.5910952326818,1005.5910952326818,1005.5910952326818,-65.05893416177291,-65.05893416177291,-65.05893416177291,1070.6500293944546,1070.6500293944546,1070.6500293944546,0.0,0.0,0.0,111644.90486146258
6813,2007-03-16,110715.58061348401,97249.7849288366,125851.26987210104,110715.58061348401,110715.58061348401,1030.0319834504737,1030.0319834504737,1030.0319834504737,24.625017276846656,24.625017276846656,24.625017276846656,1005.4069661736271,1005.4069661736271,1005.4069661736271,0.0,0.0,0.0,111745.61259693449
6814,2007-03-19,110944.38115524614,97570.40319049175,125548.01795932451,110944.38115524614,110944.38115524614,666.2343956778204,666.2343956778204,666.2343956778204,-134.37417116324067,-134.37417116324067,-134.37417116324067,800.6085668410611,800.6085668410611,800.6085668410611,0.0,0.0,0.0,111610.61555092396
6815,2007-03-20,111020.64800250005,98864.74020277645,125747.66307520443,111020.64800250005,111020.64800250005,684.3775501035419,684.3775501035419,684.3775501035419,-47.74431467323959,-47.74431467323959,-47.74431467323959,732.1218647767815,732.1218647767815,732.1218647767815,0.0,0.0,0.0,111705.02555260359
6816,2007-03-21,111096.91484975416,97422.11651527413,125005.41084767847,111096.91484975416,111096.91484975416,611.2023250688858,611.2023250688858,611.2023250688858,-53.78780352770924,-53.78780352770924,-53.78780352770924,664.990128596595,664.990128596595,664.990128596595,0.0,0.0,0.0,111708.11717482304
6817,2007-03-22,111173.18169700817,97530.86719472324,126527.78442886168,111173.18169700817,111173.18169700817,535.0453510039802,535.0453510039802,535.0453510039802,-65.05893416182153,-65.05893416182153,-65.05893416182153,600.1042851658017,600.1042851658017,600.1042851658017,0.0,0.0,0.0,111708.22704801215
6818,2007-03-23,111249.44854426218,97726.59435136225,126353.32653261712,111249.44854426218,111249.44854426218,562.9695037532741,562.9695037532741,562.9695037532741,24.625017277043042,24.625017277043042,24.625017277043042,538.3444864762312,538.3444864762312,538.3444864762312,0.0,0.0,0.0,111812.41804801546
6819,2007-03-26,111478.24908602423,97048.72497234425,126956.92321890942,111478.24908602423,111478.24908602423,245.80190213040743,245.80190213040743,245.80190213040743,-134.37417116335024,-134.37417116335024,-134.37417116335024,380.1760732937577,380.1760732937577,380.1760732937577,0.0,0.0,0.0,111724.05098815463
6820,2007-03-27,111554.51593327834,97029.2676129381,124871.20767851267,111554.51593327834,111554.51593327834,291.28832772677794,291.28832772677794,291.28832772677794,-47.744314673214205,-47.744314673214205,-47.744314673214205,339.03264239999214,339.03264239999214,339.03264239999214,0.0,0.0,0.0,111845.80426100512
6821,2007-03-28,111630.78278053243,97789.97704503218,125814.06143871279,111630.78278053243,111630.78278053243,250.99623312288955,250.99623312288955,250.99623312288955,-53.787803527652564,-53.787803527652564,-53.787803527652564,304.7840366505421,304.7840366505421,304.7840366505421,0.0,0.0,0.0,111881.77901365532
6822,2007-03-29,111707.04962778636,98140.55654215025,125740.29959515625,111707.04962778636,111707.04962778636,212.90986889514946,212.90986889514946,212.90986889514946,-65.05893416190851,-65.05893416190851,-65.05893416190851,277.968803057058,277.968803057058,277.968803057058,0.0,0.0,0.0,111919.9594966815
6823,2007-03-30,111783.31647504047,97526.81861168593,125822.59562601418,111783.31647504045,111783.31647504045,283.6526883709114,283.6526883709114,283.6526883709114,24.62501727723943,24.62501727723943,24.62501727723943,259.0276710936719,259.0276710936719,259.0276710936719,0.0,0.0,0.0,112066.96916341138
6824,2007-04-02,112012.1170168025,98055.97901398169,126236.76156096389,112012.1170168025,112012.1170168025,117.83750353587311,117.83750353587311,117.83750353587311,-134.37417116320034,-134.37417116320034,-134.37417116320034,252.21167469907346,252.21167469907346,252.21167469907346,0.0,0.0,0.0,112129.95452033838
6825,2007-04-03,112088.38386405661,97385.07111127654,126199.21135575268,112088.38386405661,112088.38386405661,219.19265062764796,219.19265062764796,219.19265062764796,-47.74431467319192,-47.74431467319192,-47.74431467319192,266.93696530083986,266.93696530083986,266.93696530083986,0.0,0.0,0.0,112307.57651468426
6826,2007-04-04,112164.65071131072,98993.08721498473,126755.0450543037,112164.6507113107,112164.6507113107,236.2266079931314,236.2266079931314,236.2266079931314,-53.7878035275959,-53.7878035275959,-53.7878035275959,290.0144115207273,290.0144115207273,290.0144115207273,0.0,0.0,0.0,112400.87731930385
6827,2007-04-05,112240.91755856463,98802.27861615375,126861.23810659672,112240.91755856463,112240.91755856463,256.10763708490987,256.10763708490987,256.10763708490987,-65.05893416199551,-65.05893416199551,-65.05893416199551,321.16657124690533,321.16657124690533,321.16657124690533,0.0,0.0,0.0,112497.02519564953
6828,2007-04-09,112545.98494758077,99980.45487070252,126421.4262068032,112545.98494758077,112545.98494758077,382.32858769873377,382.32858769873377,382.32858769873377,-134.37417116327242,-134.37417116327242,-134.37417116327242,516.7027588620062,516.7027588620062,516.7027588620062,0.0,0.0,0.0,112928.3135352795
6829,2007-04-10,112622.25179483488,98525.01990487635,128239.02932848399,112622.25179483488,112622.25179483488,532.1349472649233,532.1349472649233,532.1349472649233,-47.74431467316961,-47.74431467316961,-47.74431467316961,579.879261938093,579.879261938093,579.879261938093,0.0,0.0,0.0,113154.3867420998
6830,2007-04-11,112698.51864208879,99234.11049145187,127198.19937872936,112698.51864208879,112698.51864208879,593.2653709861935,593.2653709861935,593.2653709861935,-53.787803527539225,-53.787803527539225,-53.787803527539225,647.0531745137326,647.0531745137326,647.0531745137326,0.0,0.0,0.0,113291.78401307498
6831,2007-04-12,112774.7854893429,99388.03287089526,127269.25758046823,112774.7854893429,112774.7854893429,652.1666906936811,652.1666906936811,652.1666906936811,-65.05893416204414,-65.05893416204414,-65.05893416204414,717.2256248557252,717.2256248557252,717.2256248557252,0.0,0.0,0.0,113426.95218003659
6832,2007-04-13,112851.05233659701,98776.25008515443,128630.66000508699,112851.05233659701,112851.05233659701,813.965996946054,813.965996946054,813.965996946054,24.62501727697788,24.62501727697788,24.62501727697788,789.3409796690761,789.3409796690761,789.3409796690761,0.0,0.0,0.0,113665.01833354306
6833,2007-04-16,113079.85287835904,100070.52377667805,127829.41852123197,113079.85287835904,113079.85287835904,871.9109437376011,871.9109437376011,871.9109437376011,-134.3741711633445,-134.3741711633445,-134.3741711633445,1006.2851149009457,1006.2851149009457,1006.2851149009457,0.0,0.0,0.0,113951.76382209665
6834,2007-04-17,113156.11972561305,100459.15453154716,128342.30413956862,113156.11972561304,113156.11972561304,1027.325006684265,1027.325006684265,1027.325006684265,-47.7443146731473,-47.7443146731473,-47.7443146731473,1075.0693213574123,1075.0693213574123,1075.0693213574123,0.0,0.0,0.0,114183.44473229731
6835,2007-04-18,113232.38657286708,100032.99543035874,129400.72782912929,113232.38657286708,113232.38657286708,1086.4782576270864,1086.4782576270864,1086.4782576270864,-53.78780352774086,-53.78780352774086,-53.78780352774086,1140.2660611548272,1140.2660611548272,1140.2660611548272,0.0,0.0,0.0,114318.86483049416
6836,2007-04-19,113308.65342012118,100552.93638733005,127501.17808382733,113308.65342012118,113308.65342012118,1135.7875779275391,1135.7875779275391,1135.7875779275391,-65.05893416181017,-65.05893416181017,-65.05893416181017,1200.8465120893493,1200.8465120893493,1200.8465120893493,0.0,0.0,0.0,114444.44099804871
6837,2007-04-20,113384.92026737529,100477.71473018834,129697.16391235836,113384.92026737529,113384.92026737529,1280.4751340988964,1280.4751340988964,1280.4751340988964,24.625017277174283,24.625017277174283,24.625017277174283,1255.8501168217222,1255.8501168217222,1255.8501168217222,0.0,0.0,0.0,114665.39540147419
6838,2007-04-23,113613.72080913733,100996.71308619196,129096.82666127836,113613.72080913733,113613.72080913733,1244.7919483463502,1244.7919483463502,1244.7919483463502,-134.3741711631946,-134.3741711631946,-134.3741711631946,1379.1661195095446,1379.1661195095446,1379.1661195095446,0.0,0.0,0.0,114858.51275748368
6839,2007-04-24,113689.98765639134,101275.9116575481,129451.30389153303,113689.98765639134,113689.98765639134,1356.4443883813158,1356.4443883813158,1356.4443883813158,-47.74431467346454,-47.74431467346454,-47.74431467346454,1404.1887030547803,1404.1887030547803,1404.1887030547803,0.0,0.0,0.0,115046.43204477266
6840,2007-04-25,113766.25450364535,100745.31493437638,130279.9509054028,113766.25450364535,113766.25450364535,1366.6129161807235,1366.6129161807235,1366.6129161807235,-53.787803527684204,-53.787803527684204,-53.787803527684204,1420.4007197084077,1420.4007197084077,1420.4007197084077,0.0,0.0,0.0,115132.86741982607
6841,2007-04-26,113842.52135089946,100642.83482392988,128589.26771031415,113842.52135089946,113842.52135089946,1362.49531723125,1362.49531723125,1362.49531723125,-65.05893416189717,-65.05893416189717,-65.05893416189717,1427.5542513931473,1427.5542513931473,1427.5542513931473,0.0,0.0,0.0,115205.01666813072
6842,2007-04-27,113918.78819815337,102278.31643075093,130374.78042495785,113918.78819815337,113918.78819815337,1450.1773977111127,1450.1773977111127,1450.1773977111127,24.62501727737066,24.62501727737066,24.62501727737066,1425.552380433742,1425.552380433742,1425.552380433742,0.0,0.0,0.0,115368.96559586449
6843,2007-04-30,114147.5887399155,101600.73528840458,130226.38939989693,114147.5887399155,114147.5887399155,1231.570064205258,1231.570064205258,1231.570064205258,-134.37417116330414,-134.37417116330414,-134.37417116330414,1365.9442353685622,1365.9442353685622,1365.9442353685622,0.0,0.0,0.0,115379.15880412076
6844,2007-05-01,114223.85558716962,100878.85121190116,128646.00952812444,114223.85558716962,114223.85558716962,1281.6573445503066,1281.6573445503066,1281.6573445503066,-47.74431467326937,-47.74431467326937,-47.74431467326937,1329.401659223576,1329.401659223576,1329.401659223576,0.0,0.0,0.0,115505.51293171992
6845,2007-05-02,114300.12243442363,102011.25319044571,129495.82679272637,114300.12243442363,114300.12243442363,1231.6862838504328,1231.6862838504328,1231.6862838504328,-53.787803527901566,-53.787803527901566,-53.787803527901566,1285.4740873783344,1285.4740873783344,1285.4740873783344,0.0,0.0,0.0,115531.80871827406
6846,2007-05-03,114376.38928167764,101375.7133566981,129169.22412707948,114376.38928167764,114376.38928167764,1169.8657556362011,1169.8657556362011,1169.8657556362011,-65.05893416198415,-65.05893416198415,-65.05893416198415,1234.9246897981852,1234.9246897981852,1234.9246897981852,0.0,0.0,0.0,115546.25503731384
6847,2007-05-04,114452.65612893165,102515.18186316971,130598.42552273508,114452.65612893165,114452.65612893165,1203.2512687069009,1203.2512687069009,1203.2512687069009,24.625017276866892,24.625017276866892,24.625017276866892,1178.626251430034,1178.626251430034,1178.626251430034,0.0,0.0,0.0,115655.90739763854
6848,2007-05-07,114681.45667069378,100805.10121218233,129381.08682708882,114681.45667069379,114681.45667069379,850.8771902547621,850.8771902547621,850.8771902547621,-134.37417116337625,-134.37417116337625,-134.37417116337625,985.2513614181383,985.2513614181383,985.2513614181383,0.0,0.0,0.0,115532.33386094854
6849,2007-05-08,114757.72351794789,100900.76540694167,128829.74762223112,114757.72351794789,114757.72351794789,868.5200667516231,868.5200667516231,868.5200667516231,-47.74431467324709,-47.74431467324709,-47.74431467324709,916.2643814248701,916.2643814248701,916.2643814248701,0.0,0.0,0.0,115626.2435846995
6850,2007-05-09,114833.99036520181,101848.40996048282,129292.48964368501,114833.99036520181,114833.99036520181,793.1130803119738,793.1130803119738,793.1130803119738,-53.78780352782917,-53.78780352782917,-53.78780352782917,846.900883839803,846.900883839803,846.900883839803,0.0,0.0,0.0,115627.10344551379
6851,2007-05-10,114910.25721245591,101647.79566501525,130899.55557609026,114910.25721245591,114910.25721245591,713.2311462108407,713.2311462108407,713.2311462108407,-65.05893416203278,-65.05893416203278,-65.05893416203278,778.2900803728735,778.2900803728735,778.2900803728735,0.0,0.0,0.0,115623.48835866674
6852,2007-05-11,114986.52405970992,101181.08521522341,130077.74639497114,114986.52405970992,114986.52405970992,736.1521936274657,736.1521936274657,736.1521936274657,24.625017277063293,24.625017277063293,24.625017277063293,711.5271763504026,711.5271763504026,711.5271763504026,0.0,0.0,0.0,115722.67625333738
6853,2007-05-14,115215.32460147206,101196.14185262045,130732.24413651269,115215.32460147206,115215.32460147206,397.93472314792444,397.93472314792444,397.93472314792444,-134.3741711634483,-134.3741711634483,-134.3741711634483,532.3088943113728,532.3088943113728,532.3088943113728,0.0,0.0,0.0,115613.25932461998
6854,2007-05-15,115291.59144872616,101957.97330531271,130817.03616306082,115291.59144872616,115291.59144872616,434.71134161725115,434.71134161725115,434.71134161725115,-47.74431467339453,-47.74431467339453,-47.74431467339453,482.4556562906456,482.4556562906456,482.4556562906456,0.0,0.0,0.0,115726.30279034341
6855,2007-05-16,115367.85829598008,101444.15712177995,129632.6090497914,115367.85829598008,115367.85829598008,384.8936896152854,384.8936896152854,384.8936896152854,-53.78780352777249,-53.78780352777249,-53.78780352777249,438.6814931430579,438.6814931430579,438.6814931430579,0.0,0.0,0.0,115752.75198559537
6856,2007-05-17,115444.1251432342,101108.95600704603,129637.87589357072,115444.1251432342,115444.1251432342,336.4003586344204,336.4003586344204,336.4003586344204,-65.05893416211975,-65.05893416211975,-65.05893416211975,401.4592927965402,401.4592927965402,401.4592927965402,0.0,0.0,0.0,115780.52550186861
6857,2007-05-18,115520.3919904882,102285.54078596238,131318.0140746658,115520.3919904882,115520.3919904882,395.7318341134932,395.7318341134932,395.7318341134932,24.625017276955425,24.625017276955425,24.625017276955425,371.1068168365378,371.1068168365378,371.1068168365378,0.0,0.0,0.0,115916.1238246017
6858,2007-05-21,115749.19253225034,101563.1948068415,129461.5405641287,115749.19253225034,115749.19253225034,187.61227691216797,187.61227691216797,187.61227691216797,-134.37417116307645,-134.37417116307645,-134.37417116307645,321.9864480752444,321.9864480752444,321.9864480752444,0.0,0.0,0.0,115936.80480916251
6859,2007-05-22,115825.45937950425,102144.2505208959,130082.519960097,115825.45937950426,115825.45937950426,271.25484588182775,271.25484588182775,271.25484588182775,-47.74431467337222,-47.74431467337222,-47.74431467337222,318.9991605552,318.9991605552,318.9991605552,0.0,0.0,0.0,116096.71422538608
6860,2007-05-23,115901.72622675836,102746.77386786786,130580.72466270128,115901.72622675836,115901.72622675836,268.21410944654787,268.21410944654787,268.21410944654787,-53.787803527715816,-53.787803527715816,-53.787803527715816,322.00191297426375,322.00191297426375,322.00191297426375,0.0,0.0,0.0,116169.9403362049
6861,2007-05-24,115977.99307401247,101407.44263531062,129948.67846481966,115977.99307401247,115977.99307401247,265.285218984732,265.285218984732,265.285218984732,-65.05893416188583,-65.05893416188583,-65.05893416188583,330.3441531466179,330.3441531466179,330.3441531466179,0.0,0.0,0.0,116243.2782929972
6862,2007-05-25,116054.25992126638,101515.91911618967,130961.16885864086,116054.25992126638,116054.25992126638,367.86406663184295,367.86406663184295,367.86406663184295,24.625017276801728,24.625017276801728,24.625017276801728,343.23904935504123,343.23904935504123,343.23904935504123,0.0,0.0,0.0,116422.12398789822
6863,2007-05-29,116359.32731028252,103262.43074031714,130902.20767181311,116359.32731028252,116359.32731028252,373.0338610924429,373.0338610924429,373.0338610924429,-47.74431467334996,-47.74431467334996,-47.74431467334996,420.7781757657929,420.7781757657929,420.7781757657929,0.0,0.0,0.0,116732.36117137496
6864,2007-05-30,116435.59415753663,101405.23595548971,130461.42727355302,116435.59415753663,116435.59415753663,387.29806903112336,387.29806903112336,387.29806903112336,-53.787803527659165,-53.787803527659165,-53.787803527659165,441.0858725587825,441.0858725587825,441.0858725587825,0.0,0.0,0.0,116822.89222656775
6865,2007-05-31,116511.86100479074,102576.68574847604,132644.68854786272,116511.86100479074,116511.86100479074,394.3338682451833,394.3338682451833,394.3338682451833,-65.05893416193445,-65.05893416193445,-65.05893416193445,459.3928024071177,459.3928024071177,459.3928024071177,0.0,0.0,0.0,116906.19487303593
6866,2007-06-01,116588.12785204465,103220.50350787026,131657.91144843842,116588.12785204465,116588.12785204465,499.13508273984553,499.13508273984553,499.13508273984553,24.62501727699813,24.62501727699813,24.62501727699813,474.51006546284736,474.51006546284736,474.51006546284736,0.0,0.0,0.0,117087.26293478449
